Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUSTRIA,Americas,Thousands,934.0,788.0,647.0,599.0,674.0,692.0,780.0,756.0,673.0,617.0,708.0,743.0,806.0,860.0,919.0,1020.1,1012.8,1084.9,1157.9,1209.2,171.0,172.9,834.7
AUSTRIA,East Asia and the Pacific,Thousands,624.0,576.0,594.0,619.0,755.0,792.0,797.0,747.0,706.0,645.0,741.0,915.0,1105.0,1227.4,1380.5,1739.7,1733.0,2047.0,2188.3,2313.5,234.2,44.3,357.2
AUSTRIA,Europe,Thousands,16084.0,16474.0,16984.0,17387.0,17467.0,18031.0,18265.0,18795.0,19993.0,19613.0,20043.0,20819.0,21599.0,22043.0,22242.0,23051.0,24427.0,25361.8,26488.9,27356.3,14458.1,12228.8,24280.9
AUSTRIA,Middle East,Thousands,29.0,33.0,28.0,38.0,43.0,68.0,75.0,91.0,102.0,97.0,120.0,160.0,218.0,268.4,302.5,419.2,382.2,384.1,392.5,384.4,30.8,109.5,340.2
AUSTRIA,South Asia,Thousands,35.0,32.0,39.0,30.0,40.0,39.0,50.0,46.0,47.0,48.0,60.0,84.0,89.0,88.0,84.4,118.3,147.4,177.7,192.9,192.8,10.6,7.3,63.9
AUSTRIA,Other not classified,Thousands,240.0,241.0,293.0,378.0,363.0,288.0,259.0,297.0,374.0,296.0,287.0,239.0,276.0,265.0,300.0,306.9,340.5,327.5,313.1,347.1,165.5,149.0,280.6
AUSTRIA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
AZERBAIJAN,Total,Thousands,680.0,767.0,834.0,1014.0,1348.0,1177.0,1194.0,1332.0,1899.0,1830.0,1963.0,2239.0,2484.1,2508.7,2297.7000000000003,2006.1999999999998,2248.9,2696.7000000000003,2849.5,3170.3,795.6999999999999,791.9,1602.5
AZERBAIJAN,Africa,Thousands,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.4,2.7,2.5,2.3,4.2,7.1,8.9,10.5,1.8,2.3,6.8
AZERBAIJAN,Americas,Thousands,,,6.0,8.0,12.0,11.0,10.0,11.0,17.0,15.0,16.0,16.0,18.8,20.8,19.9,18.4,18.5,22.3,26.7,29.3,4.3,6.3,18.3
