Country,Indicators,,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CABO VERDE,Passenger transport,,,US$ Millions,23.0,23.0,35.0,48.0,54.0,55.0,71.0,71.0,80.0,63.0,109.0,70.0,58.0,61.0,48.0,33.0,32.0,25.0,32.0,65.0,10.0,,0.2
CAMBODIA,Tourism expenditure in the country,,,US$ Millions,345.0,429.0,509.0,441.0,673.0,929.0,1109.0,1169.0,1280.0,1463.0,1671.0,2258.0,2663.0,2895.0,3220.0,3419.0,3523.0,4024.0,4832.0,5312.0,1119.0,197.0,1529.3
CAMBODIA,Travel,,,US$ Millions,304.0,380.0,454.0,389.0,603.0,840.0,992.0,1020.0,1101.0,1336.0,1519.0,2084.0,2463.0,2660.0,2953.0,3137.0,3212.0,3639.0,4362.0,4773.0,1023.0,184.0,1415.0
CAMBODIA,Passenger transport,,,US$ Millions,41.0,49.0,55.0,52.0,70.0,89.0,117.0,149.0,179.0,127.0,152.0,174.0,200.0,235.0,267.0,282.0,311.0,385.0,470.0,539.0,96.0,13.0,114.3
CAMEROON,Tourism expenditure in the country,,,US$ Millions,132.0,182.0,124.0,266.0,212.0,229.0,231.0,254.0,167.0,271.0,171.0,423.0,377.0,607.0,629.0,476.0,508.0,544.0,633.0,681.0,437.0,553.5,544.5
CAMEROON,Travel,,,US$ Millions,57.0,73.0,62.0,182.0,158.0,175.0,181.0,226.0,156.0,270.0,159.0,409.0,349.0,576.0,595.0,450.0,505.0,525.0,581.0,653.0,437.0,552.0,541.0
CAMEROON,Passenger transport,,,US$ Millions,75.0,109.0,62.0,84.0,54.0,54.0,50.0,28.0,11.0,1.0,12.0,14.0,28.0,31.0,34.0,26.0,3.0,19.0,52.0,28.0,,1.5,3.5
CANADA,Tourism expenditure in the country,,,US$ Millions,13035.0,12680.0,12744.0,12236.0,15135.0,15891.0,16837.0,17962.0,18190.0,15580.0,18440.0,19994.0,,,,,,,,,,,
CANADA,Travel,,,US$ Millions,10778.0,10623.0,10687.0,10602.0,13029.0,13655.0,14556.0,15605.0,15667.0,13743.0,15830.0,16839.0,20156.0,20886.0,21580.0,20315.0,22676.0,25083.0,27269.0,29822.0,13612.0,14414.0,24241.0
CANADA,Passenger transport,,,US$ Millions,2257.0,2057.0,2057.0,1634.0,2106.0,2236.0,2281.0,2357.0,2523.0,1837.0,2610.0,3155.0,,,,,,,,,,,
CAYMAN ISLANDS,Tourism expenditure in the country,,,US$ Millions,559.0,585.0,607.0,518.0,523.0,356.0,509.0,481.0,518.0,458.0,465.0,472.0,489.0,500.0,565.0,680.0,708.0,832.0,911.0,964.0,260.0,45.7,
CAYMAN ISLANDS,Travel,,,US$ Millions,,,,,,,,,,,,,,,,,708.0,793.0,871.0,919.0,251.0,39.1,
CAYMAN ISLANDS,Passenger transport,,,US$ Millions,,,,,,,,,,,,,,,,,,39.0,40.0,45.0,9.0,6.6,
CENTRAL AFRICAN REPUBLIC,Tourism expenditure in the country,,,US$ Millions,5.0,5.0,3.0,4.0,7.800000000000001,7.2,10.2,10.8,11.8,7.5,14.4,15.0,15.0,28.0,28.0,16.0,22.21,25.3,22.0,21.5,30.9,,
