Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
COOK ISLANDS,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COOK ISLANDS,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COOK ISLANDS,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COTE D´IVOIRE,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COTE D´IVOIRE,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COTE D´IVOIRE,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COTE D´IVOIRE,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CROATIA,Guests,,Thousands,1305.0,1316.0,1376.0,1469.0,1500.0,1480.0,1667.0,1793.0,1789.0,1577.0,1493.0,1529.0,1466.0,1485.0,1505.0,1660.0,1786.0,1838.0,2022.0,2213.0,1456.0,2135.0,2451.0
CROATIA,Overnights,,Thousands,5138.0,5021.0,4981.0,5312.0,5281.0,5371.0,5907.0,6347.0,6401.0,5759.0,5424.0,5602.0,5221.0,5138.0,5160.0,5743.0,5857.0,5978.0,6477.0,7095.0,5415.0,7354.0,7753.0
