Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BRUNEI DARUSSALAM,Personal,,Thousands,950.0,823.0,,,,811.0,,142.0,185.0,118.0,169.0,195.0,157.0,163.0,148.8,169.0,173.6,215.7,234.0,289.8,53.5,1.4000000000000001,
BRUNEI DARUSSALAM,Business and professional,,Thousands,34.0,17.0,,,,4.0,,36.0,41.0,39.0,45.0,47.0,52.0,62.0,52.2,49.2,45.1,43.2,44.2,43.5,8.8,2.1,
BULGARIA,Total,,Thousands,4922.0,5104.0,5563.0,6241.0,6981.0,7282.0,7499.0,7726.0,8533.0,7873.0,8374.0,8713.0,8867.0,9192.0,9408.800000000001,9317.7,10604.4,11596.1,12368.4,12552.2,4973.3,7188.4,10888.0
BULGARIA,Personal,,Thousands,4744.0,4920.0,5383.0,6025.0,6709.0,6942.0,7167.0,7350.0,8115.0,6798.0,7440.0,7741.0,7826.0,8166.0,8191.400000000001,8126.2,9183.3,10034.2,10640.5,10791.0,4241.8,6322.0,9652.9
BULGARIA,Business and professional,,Thousands,178.0,184.0,180.0,216.0,272.0,340.0,332.0,376.0,418.0,1075.0,934.0,972.0,1041.0,1026.0,1217.4,1191.5,1421.1,1561.9,1727.9,1761.2,731.5,866.4,1235.1
BURKINA FASO,Total,,Thousands,165.0,184.0,199.0,216.0,289.0,324.0,358.0,374.0,376.0,401.0,427.0,434.0,483.0,506.0,486.0,474.5,488.4,512.5,540.4,569.4000000000001,435.6,519.8,530.7
BURKINA FASO,Personal,,Thousands,67.0,131.0,88.0,101.0,124.0,99.0,125.0,163.0,155.0,155.0,164.0,178.0,192.39999999999998,187.0,208.0,199.3,182.0,194.9,196.9,196.60000000000002,188.1,235.8,259.7
BURKINA FASO,Business and professional,,Thousands,98.0,53.0,111.0,115.0,165.0,225.0,233.0,211.0,221.0,246.0,263.0,256.0,290.6,319.0,278.0,275.2,306.4,317.6,343.5,372.8,247.5,284.0,271.0
BURUNDI,Total,,Thousands,29.0,36.0,74.0,74.0,133.0,149.0,213.0,192.0,201.0,212.0,142.0,144.0,147.0,234.0,235.0,131.0,187.0,299.0,,,,,
BURUNDI,Personal,,Thousands,19.0,24.0,52.0,52.0,88.0,100.0,149.0,165.0,173.0,182.0,122.0,111.0,134.0,217.0,193.0,121.0,156.0,252.0,,,,,
BURUNDI,Business and professional,,Thousands,10.0,12.0,22.0,22.0,45.0,49.0,64.0,27.0,28.0,30.0,20.0,33.0,13.0,17.0,42.0,10.0,31.0,47.0,,,,,
CABO VERDE,Total,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Personal,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Business and professional,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMBODIA,Total,,Thousands,351.0,408.0,523.0,701.0,987.0,1333.0,1591.0,2015.0,2125.0,2162.0,2508.0,2882.0,3584.0,4210.0,4503.0,4775.3,5011.7,5602.099999999999,6201.0,6610.6,1306.2,196.39999999999998,2276.6
CAMBODIA,Personal,,Thousands,304.0,346.0,465.0,630.0,919.0,1246.0,1482.0,1869.0,1966.0,2029.0,2367.0,2739.0,3416.0,4025.0,4297.0,4475.7,4669.5,5228.9,5513.9,5239.2,1034.2,105.3,1845.6
CAMBODIA,Business and professional,,Thousands,47.0,62.0,58.0,71.0,68.0,87.0,109.0,146.0,159.0,133.0,141.0,143.0,168.0,185.0,206.0,299.6,342.2,373.2,687.1,1371.4,272.0,91.1,431.0
CAMEROON,Total,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,Personal,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,Business and professional,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CANADA,Total,,Thousands,19554.0,19580.0,19964.0,17419.0,19031.0,18611.0,18128.0,17776.0,16998.0,15586.0,15988.0,16014.4,16344.0,15983.599999999999,16445.2,17859.2,19822.5,20576.399999999998,20957.9,22045.000000000004,,,
CANADA,Personal,,Thousands,16712.0,17061.0,17404.0,15188.0,16460.0,15989.0,15477.0,15189.0,14332.0,13240.0,13576.0,13551.8,13855.2,13430.4,13757.7,14734.9,16210.1,16793.1,17439.0,18260.800000000003,,,
CANADA,Business and professional,,Thousands,2842.0,2519.0,2560.0,2231.0,2571.0,2622.0,2651.0,2587.0,2666.0,2346.0,2412.0,2462.6,2488.8,2553.2,2687.5,3124.3,3612.4,3783.3,3518.9,3784.2,,,
CAYMAN ISLANDS,Total,,Thousands,355.0,334.0,303.0,294.0,260.0,168.0,267.0,292.0,303.0,272.0,289.0,309.0,322.0,345.0,383.0,385.4,385.0,418.40000000000003,463.00000000000006,502.8,121.80000000000001,,
CAYMAN ISLANDS,Personal,,Thousands,339.0,324.0,290.0,279.0,246.0,156.0,248.0,271.0,284.0,256.0,272.0,291.0,302.0,325.0,364.0,366.7,364.0,394.8,435.70000000000005,471.8,113.9,,
CAYMAN ISLANDS,Business and professional,,Thousands,16.0,10.0,13.0,15.0,14.0,12.0,19.0,21.0,19.0,16.0,17.0,18.0,20.0,20.0,19.0,18.7,21.0,23.6,27.3,31.0,7.9,,
CENTRAL AFRICAN REPUBLIC,Total,,Thousands,11.0,10.0,2.9000000000000004,5.7,8.1,12.0,13.7,17.1,30.6,52.4,53.8,65.4,70.8,83.5,95.6,120.5,81.9,106.7,109.30000000000001,87.30000000000001,34.6,,
CENTRAL AFRICAN REPUBLIC,Personal,,Thousands,6.0,6.0,1.3,4.0,5.6,7.8,8.1,11.2,16.700000000000003,26.9,24.0,28.4,32.0,48.9,55.5,76.6,40.5,55.5,55.900000000000006,47.1,33.4,,
CENTRAL AFRICAN REPUBLIC,Business and professional,,Thousands,5.0,4.0,1.6,1.7,2.5,4.2,5.6,5.9,13.9,25.5,29.8,37.0,38.8,34.6,40.1,43.9,41.4,51.2,53.4,40.2,1.2,,
CHAD,Total,,Thousands,,,,,,,46.0,77.0,60.6,70.0,71.0,77.0,86.0,,,,,,,,10.399999999999999,33.099999999999994,
CHAD,Personal,,Thousands,,,,,,,22.0,54.0,38.2,58.0,49.0,65.0,57.0,,,,,,,,7.1,15.7,
CHAD,Business and professional,,Thousands,,,,,,,24.0,23.0,22.4,12.0,22.0,12.0,29.0,,,,,,,,3.3,17.4,
CHILE,Total,,Thousands,1742.0,1760.0,1491.0,1672.0,1825.0,2069.0,2273.0,2534.0,2710.0,2760.0,2801.0,3137.2000000000003,3554.3,3576.0,3674.3,4478.0,5641.0,6449.9,5722.9,4518.0,1119.1,,2030.3999999999999
CHILE,Personal,,Thousands,1494.0,1553.0,1296.0,1462.0,1585.0,1719.0,1795.0,2075.0,2142.0,2026.0,2032.0,2434.8,2903.5,2952.0,3008.6,3786.0,4827.0,5813.9,5168.5,4030.3999999999996,1024.0,,1809.3
CHILE,Business and professional,,Thousands,248.0,207.0,195.0,210.0,240.0,350.0,478.0,459.0,568.0,734.0,769.0,702.4,650.8,624.0,665.7,692.0,814.0,636.0,554.4,487.6,95.1,,221.1
CHINA,Total,,Thousands,,,13439.0,11403.0,16932.0,20255.0,22210.0,26110.0,24326.0,21938.0,26127.0,27111.0,27191.0,26290.0,26361.0,25985.0,31483.9,42943.0,47951.100000000006,49113.5,,,
CHINA,Personal,,Thousands,,,10219.0,8501.0,13071.0,15657.0,16662.0,19149.0,18648.0,16701.0,19930.0,20785.0,20911.0,20096.0,20965.0,20608.0,25686.5,37246.2,41804.100000000006,42828.8,,,
